slug,name,domain,category,ycBatch,description,source
warmly,"Warmly,",warmly.ai,Sales,S20,Autonomous sales platform to auto-email your warmest leads,yc-s20
truenorth,TrueNorth,truenorthfleet.com,Supply Chain and Logistics,W20,TrueNorth gives truckers a single place to manage their business.,yc-w20
zippi,Zippi,zippi.com.br,Credit and Lending,S19,Payment Platform for LatAm Micro and Small Businesses,yc-s19
tenderd,TENDERD,tenderd.com,B2B,S18,AI Platform for Efficient and Sustainable Operations,yc-s18
regology,Regology,regology.com,Legal,S18,AI Agents for Regulatory Compliance,yc-s18
aella,Aella,aellaapp.com,Credit and Lending,W17,Diversified credit infrastructure powering payments across Africa.,yc-w17
instrumentl,Instrumentl,instrumentl.com,B2B,S16,Instrumentl automates grant discovery and management for nonprofits.,yc-s16
bankjoy,Bankjoy,bankjoy.com,Banking and Exchange,W15,An end-to-end digital banking solution for banks and credit unions,yc-w15
usergems,UserGems,usergems.com,Recruiting and Talent,S14,AI-powered sales solution based on your best customers,yc-s14
nobell-foods,Nobell Foods,nobellfoods.com,Food and Beverage,S17,Cheese and dairy products from plant-derived dairy proteins,yc-s17
govdash,GovDash,govdash.com,Government,W22,AI platform to win and run government contracts,yc-w22
kosh,Kosh,getkosh.com,Credit and Lending,W20,Creating Microfinance 2.0.,yc-w20
vendoo,Vendoo,vendoo.co,Consumer,W22,We help online sellers manage a sales business on multiple platforms.,yc-w22
touch-and-pay-technologies-limited,Touch and Pay Technologies Limited,touchandpay.me,Payments,W22,Digitizing and processing Microtransactions in Africa,yc-w22
optery,Optery,optery.com,Security,W22,Opt out software that removes your private info from the internet,yc-w22
marketfeed,marketfeed,marketfeed.com,Consumer Finance,S21,Helps affluent Indians invest in automated options trading strategies,yc-s21
bik,BIK,bik.ai,Retail,S20,Agentic AI CRM for ecommerce,yc-s20
arketa,Arketa,arketa.com,Operations,S20,Everything for your fitness or wellness business.,yc-s20
osmind,Osmind,osmind.org,Healthcare IT,S20,Platform for breakthrough mental health research and treatment,yc-s20
datasaur,Datasaur,datasaur.ai,"Engineering, Product and Design",W20,Datasaur builds a data labeling workforce management platform for NLP.,yc-w20
anjuna,Anjuna,anjuna.io,Security,W18,Anjuna enabled organizations to trust any infrastructure,yc-w18
ambition,Ambition,ambition.com,Sales,W14,Coaching and gamification software for sales teams.,yc-w14
reality-defender,Reality Defender,realitydefender.com,Security,W22,Enterprise Deepfake Detection,yc-w22
heru,Heru,heru.app,Fintech,S19,Tax Automation Infrastructure,yc-s19
tesorio,Tesorio,tesorio.com,Finance and Accounting,S15,Tesorio is the cash flow performance platform that helps finance…,yc-s15
embrace,Embrace,embrace.io,"Engineering, Product and Design",S19,Modern mobile observability built on OpenTelemetry,yc-s19
readme,ReadMe,readme.com,"Engineering, Product and Design",W15,"Beautiful, personalized, interactive developer hubs",yc-w15
easypost,EasyPost,easypost.com,Supply Chain and Logistics,S13,The shipping infrastructure of the internet.,yc-s13
shoptiques,Shoptiques,shoptiques.com,Apparel and Cosmetics,W12,Shoptiques.com lets you shop the world's best local boutiques online.,yc-w12
model-ml,Model ML,modelml.com,B2B,W24,AI Workspace for Financial Services.,yc-w24
suger,Suger,suger.io,Sales,W23,"Salesforce for Cloud marketplaces on AWS, Azure, GCP",yc-w23
oneleet,Oneleet,oneleet.com,Security,S22,"YC's most popular security compliance platform (SOC 2, ISO 27001,…",yc-s22
boostly,Boostly,boostly.com,Marketing,S22,Premier growth platform for restaurants,yc-s22
kaso,Kaso,kaso.ai,Supply Chain and Logistics,W22,B2B platform connecting restaurants with food suppliers,yc-w22
transfez,Transfez,itsjack.com,Payments,W22,Brex for small businesses in Indonesia,yc-w22
arintra,Arintra,arintra.com,Healthcare IT,W22,Medical coding automation,yc-w22
durioo,Durioo,durioo.com,Content,W22,Streaming Platform for Muslim Children,yc-w22
infina,Infina,infina.vn,Fintech,S21,Leading wealth management and investing platform in Vietnam,yc-s21
soraban,Soraban,soraban.com,Finance and Accounting,W21,AI assistant for accounting firms,yc-w21
payflow,Payflow,payflow.es,Human Resources,S21,A mobile app. It allows employees to get paid their salary on-demand.,yc-s21
quotabook,QuotaBook,quotabook.com,Finance and Accounting,W21,Equity management platform for startups and investors.,yc-w21
firstbase-io,Firstbase.io,firstbase.io,Operations,W21,The all-in-one startup operating system,yc-w21
agendapro,AgendaPro,agendapro.com,Marketing,W21,Shopify for Beauty and Wellness businesses in Latam,yc-w21
great-question,Great Question,greatquestion.co,"Engineering, Product and Design",W21,User research on autopilot.,yc-w21
wareiq,WareIQ,wareiq.com,Supply Chain and Logistics,S20,Amazon-prime like logistics for eCommerce companies in India,yc-s20
mesh,Mesh,mesh.ai,Human Resources,S20,Performance management platform that fits the way you work,yc-s20
draftwise,Draftwise,draftwise.com,Legal,S20,Contract and negotiation AI built for lawyers,yc-s20
recurrency,Recurrency,recurrency.com,Sales,S20,Automated ERP for distributors.,yc-s20
upflow,Upflow,upflow.io,Payments,W20,Cash collection tech for B2B businesses.,yc-w20
vendr,Vendr,vendr.com,Operations,S19,The AI negotiation agent to help you save money on SaaS.,yc-s19
method-financial,Method Financial,methodfi.com,Payments,S19,Financial connectivity API for consumer liabilities,yc-s19
ilabservice,iLabService,ilabservice.com,Productivity,S18,AI powered Lab Operation Management SaaS Platform,yc-s18
lemonbox-health,LemonBox Health,lemonbox.com,Home and Personal,S18,"From vitamins to meals, AI that optimizes your daily nutrition.",yc-s18
bloom-institute-of-technology,Bloom Institute of Technology,bloomtech.com,Education,S17,The online coding school that invests in you.,yc-s17
onefin,OneFin,onefin.in,Credit and Lending,W17,Shopify for Financial Services,yc-w17
scope-ar,Scope AR,scopear.com,Virtual and Augmented Reality,S15,Scope AR is the leading provider of User Guided Augmented Reality…,yc-s15
leadgenius,LeadGenius,leadgenius.com,Sales,S11,LeadGenius is an account-based marketing and lead generation…,yc-s11
sully-ai,Sully.ai,sully.ai,Productivity,S21,AutonomousOS for healthcare organizations,yc-s21
paragon,Paragon,useparagon.com,"Engineering, Product and Design",W20,The embedded integration platform for SaaS apps.,yc-w20
flowspace,Flowspace,flow.space,Supply Chain and Logistics,S17,The operating system powering ecommerce fulfillment,yc-s17
liveflow,LiveFlow,liveflow.com,Finance and Accounting,W21,The #1 platform for multi-entity finance,yc-w21
notabene,Notabene,notabene.id,Security,S20,The Notabene platform is the trust layer for global money movement.,yc-s20
positive,Positive,positive.co,Food and Beverage,W19,B2B supplier of fresh/healthy packaged food,yc-w19
inscribe,Inscribe,inscribe.ai,Infrastructure,S18,Risk Ops Automation,yc-s18
malga,Malga,malga.io,Payments,S21,Malga is an API to accept payments with multiple payment providers,yc-s21
termii,Termii,termii.com,Infrastructure,W20,Termii is helps businesses communicate with customers globally.,yc-w20
glide,Glide,glideapps.com,"Engineering, Product and Design",W19,"Glide turns spreadsheets into beautiful, intelligent apps.",yc-w19
radar,RADAR,goradar.com,Retail,W13,RADAR is building technology to completely transform the in-store…,yc-w13
campfire-2,Campfire,meetcampfire.com,Finance and Accounting,S23,A modern version of NetSuite,yc-s23
kashin,Kashin,kashin.app,Credit and Lending,S22,Credit for the emerging economy in Latam,yc-s22
peakflo,Peakflo,peakflo.co,Payments,W22,Agentic workflows that automate your back‑office operations,yc-w22
vobi,Vobi,vobi.com.br,Construction,W22,All-in-one project management software for construction SMBs in Latam,yc-w22
complif,Complif,complif.com,Operations,W22,Compliance tools for financial companies in LatAm KYC & AML,yc-w22
kodo,Kodo,kodo.com,Payments,W21,Corporate card & spend management platform for Indian startups,yc-w21
hapi,Hapi,hapi.trade,Consumer Finance,W21,Stocks and cryptos trading app with zero commissions and no minimums…,yc-w21
ello,Ello,ello.com,Education,W20,Building the world's first 1:1 AI teacher.,yc-w20
benepass,Benepass,getbenepass.com,Human Resources,W20,Fintech for corporate compensation,yc-w20
ownlocal,OwnLocal,ownlocal.com,Marketing,W10,"OwnLocal automates marketing for over 129,000 SMBs through 3,300…",yc-w10
hadrius,Hadrius,hadrius.com,Asset Management,W23,Automating Securities Compliance,yc-w23
forage-2,Forage,joinforage.com,Payments,S21,Payments infrastructure for government benefits,yc-s21
humaans,Humaans,humaans.io,Human Resources,W21,AI-Powered HRIS for high performing teams,yc-w21
doola,doola,doola.com,Productivity,S20,Business-in-a-Box™ for LLCs,yc-s20
respaid,Respaid,respaid.com,Fintech,S23,"Respectful B2B Debt Collection, Powered by AI",yc-s23
unravel-carbon,Unravel Carbon,unravelcarbon.com,B2B,W22,Enterprise software for companies to track & reduce their carbon…,yc-w22
monet,Monet,monet.com.co,Fintech,S21,Payroll-backed loans and cash advances in Latam,yc-s21
backerkit,BackerKit,backerkit.com,Sales,S12,The only end-to-end crowdfunding platform built for today’s creators,yc-s12
quindar,Quindar,quindar.space,B2B,S22,The platform to monitor and automate satellite operations,yc-s22
trii,trii,trii.co,Banking and Exchange,S21,One stop investment solution for retail investors in Latam,yc-s21
axar-ai,AXAR AI,axar.ai,"Engineering, Product and Design",W21,Multi-agent orchestration platform,yc-w21
mindsdb,MindsDB,mindsdb.com,Infrastructure,W20,"Connect, Unify, Respond to any data, anywhere with human-level…",yc-w20
capi-money,Capi Money,capimoney.com,Payments,S23,Helping businesses in emerging markets make pay their international…,yc-s23
salient,Salient,trysalient.com,B2B,W23,AI Servicing for Auto Lenders,yc-w23
middleware,Middleware,middleware.io,Infrastructure,W23,AI-based full stack observability platform,yc-w23
infisical,Infisical,infisical.com,Security,W23,"Unified platform for secrets, certs, and privileged access management",yc-w23
tailor,Tailor,tailor.tech,B2B,S22,Headless ERP for retail operations,yc-s22
haddock,haddock,haddock.app,Finance and Accounting,W22,AI agents to run restaurant operations,yc-w22
dynamo-ai,Dynamo AI,dynamo.ai,B2B,W22,Compliant-Ready AI for the Enterprise,yc-w22
heyfood,Heyfood,heyfood.africa,Food and Beverage,W22,Doordash for Africa,yc-w22
arc-2,Arc,joinarc.com,Fintech,W22,Banking & Funding for Startups,yc-w22
anfin,Anfin,anfin.vn,Asset Management,W22,A multi-asset trading platform dedicated to retail investors,yc-w22
luable,Luable,mejorcdt.com,Asset Management,S21,Latin America's Deposits Marketplace for Banks,yc-s21
portao-3,Portão 3,portao3.com.br,Finance and Accounting,S21,We are the frictionless way for companies to make payments.,yc-s21
propreturns,PropReturns,propreturns.com,Housing and Real Estate,S21,End-to-end commercial real estate transaction platform,yc-s21
storylane,Storylane,storylane.io,B2B,S21,Build Interactive Product Demo in 10 mins for SaaS companies,yc-s21
tavus,Tavus,tavus.io,B2B,S21,Building the human layer of AI,yc-s21
deed,Deed,joindeed.com,Human Resources,S21,Making it easy for employees to donate and volunteer with good causes.,yc-s21
nash,Nash,usenash.com,Supply Chain and Logistics,S21,Nash is the digital logistics infrastructure for commerce,yc-s21
salarybox,SalaryBox,salarybox.in,Human Resources,S21,Gusto for India,yc-s21
resquared,Resquared,re2.ai,Marketing,W21,Marketing automation platform for selling to local businesses.,yc-w21
tint,Tint,tint.ai,Insurance,W21,Makes it easy for tech platforms to embed insurance into products,yc-w21
parrot-software,Parrot Software 🦜,parrotsoftware.io,Retail,S20,The operating system for restaurants in LatAm.,yc-s20
alloy-automation,Alloy Automation,runalloy.com,"Engineering, Product and Design",W20,Alloy is a platform for building and managing SaaS integrations,yc-w20
karat-financial,Karat Financial,trykarat.com,Credit and Lending,W20,Better financial services for creators,yc-w20
taiv,Taiv,taiv.tv,Marketing,W20,Taiv uses AI to make businesses TVs more entertaining & valuable.,yc-w20
postera,PostEra,postera.ai,Drug Discovery and Delivery,W20,Medicinal Chemistry powered by Machine Learning,yc-w20
mobot,Mobot,mobot.io,"Engineering, Product and Design",W19,Mobot is a QA-as-a-service platform using actual mechanical robots,yc-w19
cowrywise,Cowrywise,cowrywise.com,Asset Management,S18,Digitizing wealth management in Africa,yc-s18
titan,Titan,titan.com,Asset Management,S18,Titan is an award-winning wealth manager with a mission to increase…,yc-s18
slite,Slite,slite.com,Productivity,W18,Team documentation removing the pain of maintaining and finding info,yc-w18
proven-group,Proven Group,provenskincare.com,Consumer,W18,"PROVEN is using AI, data and personalization to disrupt CPG",yc-w18
just-appraised,Just Appraised,justappraised.com,Government,S17,Just Appraised makes software for local governments.,yc-s17
roofr,Roofr,roofr.com,Home and Personal,S17,Sales software for roofers. Aerial measurements + proposals in seconds,yc-s17
expo,Expo,expo.dev,Infrastructure,S16,Expo brings together the best of web and native app development,yc-s16
legalist,Legalist,legalist.com,Credit and Lending,S16,Tech-enabled asset management firm,yc-s16
thunkable,Thunkable,thunkable.com,Marketing,W16,Thunkable is the no-code platform to build powerful native mobile apps,yc-w16
pocketsuite,PocketSuite,pocketsuite.io,Productivity,W16,PocketSuite makes it easy for your clients to book and pay you,yc-w16
sfox,SFOX,sfox.com,Banking and Exchange,S14,Crypto-currency trading platform.,yc-s14
estimote-inc,"Estimote, Inc.",estimote.com,Supply Chain and Logistics,S13,Location intelligence platform,yc-s13
rainforest,Rainforest,rainforestqa.com,"Engineering, Product and Design",S12,no-code end-to-end testing that integrates with any CI/CD pipeline,yc-s12
demandsphere,DemandSphere,demandsphere.com,Marketing,S10,SEO & Content Marketing Intelligence,yc-s10
signoz,SigNoz,signoz.io,Infrastructure,W21,Open source alternative to DataDog,yc-w21
treble-ai,treble.ai,treble.ai,Marketing,S19,We help companies scale marketing campaigns through WhatsApp,yc-s19
upfort,Upfort,upfort.com,Security,S17,Turnkey security & hassle-free cyber insurance from leading insurers,yc-s17
artisan,Artisan,artisan.co,B2B,W24,"AI employees called Artisans, starting with an AI BDR",yc-w24
littio,Littio,littio.co,Consumer Finance,W23,Dollar banking for people in Latin America,yc-w23
chipax,Chipax,chipax.com,Finance and Accounting,S21,Quickbooks for SMBs in Latam,yc-s21
tienda-crypto,Tienda Crypto,tiendacrypto.com,Banking and Exchange,W20,Crypto Exchange and Payment API Gateway,yc-w20
predictleads,PredictLeads,predictleads.com,Analytics,S19,Best in class company intelligence data.,yc-s19
aiprise,AiPrise,aiprise.com,Fintech,S22,AI Powered Global Compliance Platform,yc-s22
tag,TAG,tagme.pk,Banking and Exchange,S21,TAG is the First Digital Bank (Chime/Revolut/N26) for Pakistan,yc-s21
prelim,Prelim,prelim.com,Fintech,S17,Software for banks to open bank accounts,yc-s17
spellbrush,Spellbrush,spellbrush.com,Gaming,W18,Making Anime Real,yc-w18
juicebox,Juicebox,juicebox.ai,Recruiting and Talent,S22,AI-powered talent sourcing for recruiters,yc-s22
rever,REVER,itsrever.com,Fintech,S22,Changing the way people buy by giving superpowers to shoppers,yc-s22
compup,CompUp,compup.io,Human Resources,S22,Building a compensation graph to help companies optimise people spend,yc-s22
landeed,Landeed,landeed.com,Fintech,S22,"Landeed is India’s digital infrastructure for property intelligence,…",yc-s22
peoplebox,Peoplebox.ai,peoplebox.ai,Human Resources,S22,"AI talent platform to hire, manage, and grow your people",yc-s22
quik,QUIK,quikpago.com,Consumer,W22,Building the operating system for business in LATAM,yc-w22
botcity,BotCity,botcity.dev,"Engineering, Product and Design",W22,Observability and Governance for AI-Generated Python scripts.,yc-w22
unlayer,Unlayer,unlayer.com,Productivity,W22,Unlayer makes embeddable email and web editing software.,yc-w22
talentropy-ai,Talentropy.ai,talentropy.ai,Human Resources,W22,AI solution that streamlines candidate screening and recruitment,yc-w22
mintlify,Mintlify,mintlify.com,"Engineering, Product and Design",W22,The intelligent documentation platform,yc-w22
slash,Slash,slash.com,Fintech,S21,Business banking that understands your industry's unique challenges,yc-s21
writesonic,Writesonic,writesonic.com,Marketing,S21,Track & Boost Your Brand’s Visibility in AI Search,yc-s21
konta-com,Konta.com,konta.com,Finance and Accounting,S21,Turbotax for México and LATAM,yc-s21
vinco,Vinco,vincoed.com,Human Resources,S21,Retaining employees in LatAm via education,yc-s21
female-invest,Female Invest,femaleinvest.com,Fintech,S21,Female Invest is a social e-learning app for finance and investing,yc-s21
briohr,BrioHR,briohr.com,Human Resources,W21,All-in-one HR management platform for SMEs,yc-w21
swiftsku,SwiftSku,swiftsku.com,Retail,W21,Management and analytics software for convenience stores,yc-w21
navattic,Navattic,navattic.com,Marketing,W21,Interactive product demos,yc-w21
banner,Banner,withbanner.com,Real Estate and Construction,S19,Banner makes software for CRE owners to manage capital spend,yc-s19
dripos,Dripos,dripos.com,Payments,S20,The only piece of software a coffee shop needs to operate.,yc-s20
courier,Courier,courier.com,"Engineering, Product and Design",S19,The fastest way for developers to build notifications for their app.,yc-s19
credpal,CredPal,credpal.com,Credit and Lending,W19,CredPal is a buy now pay later company in Africa that allows…,yc-w19
beacons,Beacons,beacons.ai,Social,S19,"An AI-powered, all-in-one business platform for content creators",yc-s19
termius,Termius,termius.com,Security,W19,Termius is an SSH client with team collaboration features,yc-w19
bluecargo,BlueCargo,bluecargo.io,Supply Chain and Logistics,S18,The automated solution for complex freight transactions.,yc-s18
c16-biosciences,C16 Biosciences,c16bio.com,Industrial Bio,S18,"Next-gen ingredients to decarbonize consumer products, starting w/…",yc-s18
sourceress,Sourceress,sourceress.com,"Engineering, Product and Design",S17,,yc-s17
onechronos,OneChronos,onechronos.com,Banking and Exchange,S16,The Smart Market for Institutional Investors,yc-s16
wefunder,Wefunder,wefunder.com,Asset Management,W13,We're Robinhood for pre-IPO startups. Everyone can invest $100.,yc-w13
streak,Streak,streak.com,Sales,S11,Streak transforms Gmail into a powerful CRM,yc-s11
greenlite,Greenlite,greenlite.ai,Fintech,S23,AI agents for financial compliance,yc-s23
aqua,Aqua,investwithaqua.com,Fintech,S21,The Operating System for Alternative Investments,yc-s21
baraka,Baraka,getbaraka.com,Asset Management,S21,Grow Your Wealth With Baraka,yc-s21
juzibot,JuziBot,juzibot.com,"Engineering, Product and Design",W19,"Intercom for WeChat, help companies to acquire, engage, retain…",yc-w19
imgix,Imgix,imgix.com,Infrastructure,S11,The platform for your visual media.,yc-s11
delve,Delve,delve.co,Security,W24,AI that makes compliance effortless,yc-w24
hitpay,HitPay,hitpayapp.com,Payments,S21,Payments infrastructure for businesses scaling in APAC,yc-s21
lago,Lago,getlago.com,Finance and Accounting,S21,Open Source Metering and Usage Based Billing,yc-s21
pandai,Pandai,pandai.org,Education,S21,Learning app for school students in Southeast Asia,yc-s21
udhaar-app,Udhaar App,udhaar.pk,Payments,W21,We're Khatabook / OkCredit for Pakistan,yc-w21
finley,Finley,finleycms.com,Credit and Lending,W21,Streamline your debt capital raise and management,yc-w21
segmed,Segmed,segmed.ai,Diagnostics,W20,Real-World Data for Health Innovation,yc-w20
snapmagic,SnapMagic,snapmagic.com,"Engineering, Product and Design",S15,AI copilot for electronics design,yc-s15
flagright,Flagright,flagright.com,B2B,W22,AI-native AML compliance platform for fintechs & banks,yc-w22
pluggy,Pluggy,pluggy.ai,"Engineering, Product and Design",S21,Plaid for Brazil: we allow developers to access users' financial data,yc-s21
genuity,Genuity,gogenuity.com,B2B,S21,SaaS Platform to manage IT and buy business software,yc-s21
authzed,authzed,authzed.com,"Engineering, Product and Design",W21,Cloud Infrastructure for Authorization,yc-w21
luminai,Luminai,luminai.com,"Engineering, Product and Design",S20,Luminai helps automate repetitive manual work away from your mission…,yc-s20
mixrank,MixRank,mixrank.com,B2B,S11,"Data products for sales, marketing, finance, recruiting, and more.",yc-s11
autarc,autarc,autarc.energy,B2B,S24,autarc is the OS for Europe's One-Stop Energy Installers,yc-s24
cleva,Cleva,getcleva.com,Fintech,W24,USD banking platform for Africa,yc-w24
alex-com,Alex,alex.com,Recruiting and Talent,W24,Your AI recruiter for interviewing and identifying the best talent,yc-w24
giga,Giga,giga.ai,"Engineering, Product and Design",S23,AI Support Agent for Enterprises.,yc-s23
outset,Outset,outset.ai,Analytics,S23,AI-powered user interviews,yc-s23
ekho,Ekho,ekho.com,Supply Chain and Logistics,S22,Shopify for vehicles,yc-s22
truewind,Truewind,trytruewind.com,Finance and Accounting,W23,AI-Powered Accounting,yc-w23
peeba,Peeba,peeba.com,B2B,W23,Risk-free wholesale for retailers across Southeast Asia,yc-w23
rollstack-2,Rollstack,rollstack.com,Analytics,W23,Automate data-driven slide decks and documents with AI,yc-w23
tigereye,TigerEye,tigereye.com,Construction,S22,AI for Construction,yc-s22
superorder,Superorder,superorder.com,B2B,S19,AI customer reputation & performance management for restaurant chains.,yc-s19
novig,Novig,novig.us,Gaming,S22,America's #1 Sports Prediction Market,yc-s22
mahaana-wealth,Mahaana Wealth,mahaana.com,Fintech,W22,Mahaana is first & only licensed digital wealth manager in Pakistan,yc-w22
policyfly,PolicyFly,policyfly.com,Insurance,W22,Modernizing Specialty Insurance,yc-w22
curacel,Curacel,curacel.co,Insurance,W22,AI-Powered Infrastructure for Insurance & Healthcare,yc-w22
ankr-health,Ankr Health,ankr.us,Healthcare,W22,Virtualizing brick-mortar infrastructures of clinics w/ generative AI,yc-w22
rally-uxr,Rally UXR,rallyuxr.com,"Engineering, Product and Design",W22,User Research CRM,yc-w22
harmoney,Harmoney,harmoney.in,Asset Management,W22,"Agentic AI solution for fixed income, credit and portfolio analysis",yc-w22
dojah-inc,Dojah Inc,dojah.io,Infrastructure,W22,Prevent Fraud and Onboard Users Faster,yc-w22
mono-2,Mono,mono.la,Payments,W22,Embedded finance infrastructure for LatAm enterprises.,yc-w22
wibond,Wibond,wibond.co,Credit and Lending,W22,Affirm for LATAM,yc-w22
customily,Customily,customily.com,"Engineering, Product and Design",S21,Making it easy to sell personalized products online.,yc-s21
formance,Formance,formance.com,B2B,S21,Open Source Infrastructure for the Financial Internet,yc-s21
govly,Govly,govly.com,Government,S21,The #1 Market Network for Government Contractors.,yc-s21
appx,AppX,appx.co.in,Education,S21,AppX helps social media creators launch their own mobile apps.,yc-s21
cloud-humans,cloud humans,cloudhumans.com,Operations,W21,AI-powered customer service for startups,yc-w21
rocketsdr,RocketSDR,rocketsdr.ai,Sales,W21,AI Native Sales Outreach Platform,yc-w21
recall-ai,Recall.ai,recall.ai,"Engineering, Product and Design",W20,"The API to get recordings, transcripts, and metadata from meetings",yc-w20
medme-health,MedMe Health,medmehealth.com,Healthcare IT,W21,Software for pharmacies to move beyond dispensing,yc-w21
bimaplan,Bimaplan,bimaplan.co,Insurance,W21,Affordable insurance for the next billion Indians,yc-w21
olaclick,OlaClick,olaclick.com,Food and Beverage,W21,Restaurant Solution (E-commerce via WhatsApp + POS + CRM/Marketing),yc-w21
datafold,Datafold,datafold.com,Analytics,S20,Automating manual and repetitive data engineering tasks with AI,yc-s20
questdb,QuestDB,questdb.io,Infrastructure,S20,The fastest open source time series database,yc-s20
grain,Grain,trygrain.com,Credit and Lending,W20,Grain transforms the debit card you already have into a credit card…,yc-w20
buy-me-a-coffee,Buy Me a Coffee,buymeacoffee.com,Content,W19,Helping creators monetize,yc-w19
okteto,Okteto,okteto.com,Infrastructure,W19,Cloud Development Environments with one click,yc-w19
swayable,Swayable,swayable.com,Marketing,W18,Swayable predicts consumer opinion and the impact of content,yc-w18
plane,Plane,plane.com,Human Resources,W17,#1 easiest-to-use payroll for startups,yc-w17
qvin,Qvin,qvin.com,Consumer Health and Wellness,W16,Empowering women. Period.,yc-w16
the-ticket-fairy,The Ticket Fairy,ticketfairy.com,"Travel, Leisure and Tourism",S15,Revenue generation for live events,yc-s15
tenjin,Tenjin,tenjin.com,Marketing,S14,Mobile marketing analytics and infrastructure,yc-s14
mixerbox,MixerBox,mixerbox.com,Consumer,W14,AI Super-Apps to Live Easier | The anything anytime superapps…,yc-w14
zentail,Zentail,zentail.com,Supply Chain and Logistics,S12,We're making ecommerce simple connecting brands with sales channels,yc-s12
escape,Escape,escape.tech,Security,W23,The only DAST that works with modern stack and tests business logic,yc-w23
handl,Handl,handl.ai,Operations,W20,"Handl converts documents (invoices, income stabs, custom forms, etc.)…",yc-w20
vori,Vori,vori.com,Retail,W20,Vori is a modern operating system for supermarkets,yc-w20
taxgpt,TaxGPT,taxgpt.com,Finance and Accounting,S24,AI tax assistant for professionals and businesses,yc-s24
merlin-ai,Merlin AI,merlinai.co,B2B,S24,AI powered ERP for Construction,yc-s24
casca,Casca,cascading.ai,Fintech,S23,Make Banking Magical,yc-s23
waza,Waza,waza.co,Payments,W23,B2B payments platform for emerging markets.,yc-w23
algotest,AlgoTest,algotest.in,Fintech,S22,Ecosystem for options trading in India,yc-s22
agave,Agave,useagave.com,B2B,W22,Financial Operations Platform for Construction,yc-w22
confido,Confido,confidotech.com,Finance and Accounting,S21,AI-enabled financial automation and intelligence for CPG Brands,yc-s21
topline-pro,Topline Pro,toplinepro.com,Operations,W21,Generative AI powered Shopify for home service professionals,yc-w21
the-flex-company,The Flex Company,flexfits.com,Home and Personal,S16,Sustainable period care.,yc-s16
replika,Replika,replika.ai,Content,W15,Replika is an AI friend that you can talk to designed to make you…,yc-w15
olark,Olark,olark.com,Retail,S09,The best live chat software on the planet. We help you build…,yc-s09
salvy,Salvy,salvy.com.br,Operations,W24,Mobile carrier for businesses in Brazil,yc-w24
eazipay-inc,Eazipay Inc.,myeazipay.com,Payments,W22,Eazipay powers effortless payroll and financial access in Africa.,yc-w22
secoda,Secoda,secoda.co,Analytics,S21,Secoda is the AI layer for your Analytics,yc-s21
ahazou,Ahazou,ahazou.com,Marketing,S21,Podium for local businesses in Latam,yc-s21
spark-studio,Spark Studio,sparkstudio.co,Education,S21,The most magical personal Voice-Led AI English Learning Buddy for Kids,yc-s21
blue-onion,Blue Onion,blueonion.ai,Finance and Accounting,S20,Financial data layer for AI-powered finance and accounting,yc-s20
raycast,Raycast,raycast.com,Productivity,W20,Speed up non-coding tasks for engineering teams,yc-w20
tranqui-finanzas,Tranqui Finanzas,tranquifinanzas.com,Credit and Lending,S19,Debt Management for Latin America.,yc-s19
d-id,D-ID,d-id.com,Security,S17,Enable creators and developers to generate realistic AI personas,yc-s17
yuma-ai,Yuma AI,yuma.ai,Operations,W23,The AI Support Agent for Ecommerce,yc-w23
reclaim-protocol,Reclaim Protocol,reclaimprotocol.org,"Engineering, Product and Design",W21,"User data verification across Employment, Academic Creds, Retail…",yc-w21
hudu,Hudu,hudu.com,Operations,W21,The Most-Loved IT Documentation Platform,yc-w21
heron-data,Heron Data,herondata.io,B2B,S20,We automate document-heavy workflows in financial services and beyond,yc-s20
release,Release,release.com,"Engineering, Product and Design",W20,Environments as a service,yc-w20
fynn,Fynn,fynncredit.com,Credit and Lending,S19,SoFi for trade students,yc-s19
harper,Harper,harperinsure.com,Insurance,W25,AI-native commercial insurance brokerage,yc-w25
presti-ai,Presti AI,presti.ai,Retail,S24,Helping furniture companies create product visuals with AI,yc-s24
trellis-ai,Trellis AI,runtrellis.com,B2B,W24,AI for streamlining healthcare paperwork,yc-w24
vetrec,VetRec,vetrec.io,B2B,S23,AI Scribe for veterinarians. Saving time and improving patient care.,yc-s23
clueso,Clueso,clueso.io,"Engineering, Product and Design",W23,Create beautiful videos & docs for any product or process in minutes,yc-w23
assembly-com,Assembly,assembly.com,Productivity,W18,Create remarkable client experiences,yc-w18
newscatcher,NewsCatcher,newscatcherapi.com,Analytics,S22,"We transform public web data into live signals that power search,…",yc-s22
invert,Invert,invertbio.com,Industrial Bio,W22,Data analytics software for biomanufacturing.,yc-w22
coast,Coast,trycoast.com,B2B,S21,Demo Platform for API-First Companies,yc-s21
shaped,Shaped,shaped.ai,Infrastructure,W22,"The real-time retrieval engine for search, feeds, and agents.",yc-w22
smarthelio,SmartHelio,smarthelio.com,Analytics,W22,Software to prevent downtime in a solar plant,yc-w22
pantore-pay,Pantore Pay,pantorepay.com.br,Fintech,W22,Working capital for Brazilian restaurants,yc-w22
fathom,Fathom,fathom.video,Productivity,W21,Never take notes again with the #1 AI Meeting Assistant,yc-w21
pina,PINA,pina.id,Fintech,W22,WealthFront of Indonesia,yc-w22
circular,Circular,nowcircular.com,Consumer Electronics,W22,Subscription consumer electronics for Asia,yc-w22
